security_name,security_name_full,security_name_tiny,security_code,security_class,security_class_code,security_nominal
"ASSB [TQBR]",""Астраханская ЭСК" ПАО",АстрЭнСб,ASSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"AMEZ [TQBR]","Ашинский метзавод ПАО ао",АшинскийМЗ,AMEZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"AFLT [TQBR]",Аэрофлот-росс.авиалин(ПАО)ао,Аэрофлот,AFLT,"МБ ФР: Т+ Акции и ДР",TQBR,1
"BSPB [TQBR]","ПАО "Банк "Санкт-Петербург" ао","БСП ао",BSPB,"МБ ФР: Т+ Акции и ДР",TQBR,1
"FTRE [TQBR]","Финансовая группа БУДУЩЕЕ ао","БУДУЩЕЕ ао",FTRE,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"BISV [TQBR]","Башинформсвязь(ПАО) ао","БашИнСв ао",BISV,"МБ ФР: Т+ Акции и ДР",TQBR,1
"BISVP [TQBR]","Башинформсвязь(ПАО) ап","БашИнСв ап",BISVP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"BANE [TQBR]","Башнефть АНК ао","Башнефт ао",BANE,"МБ ФР: Т+ Акции и ДР",TQBR,1
"BANEP [TQBR]","Башнефть АНК ап","Башнефт ап",BANEP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"BLNG [TQBR]","Белон ОАО ао","Белон ао",BLNG,"МБ ФР: Т+ Акции и ДР",TQBR,0
"BELU [TQBR]","Белуга Групп ПАО ао","Белуга ао",BELU,"МБ ФР: Т+ Акции и ДР",TQBR,100
"ALBK [TQBR]","Бест Эффортс Банк ПАО ао","БестЭфБ ао",ALBK,"МБ ФР: Т+ Акции и ДР",TQBR,10
"BRZL [TQBR]","Бурятзолото ПАО ао",БурЗолото,BRZL,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VSMO [TQBR]","Корп. ВСМПО-АВИСМА (ПАО) ао",ВСМПО-АВСМ,VSMO,"МБ ФР: Т+ Акции и ДР",TQBR,1
"VTBR [TQBR]","ао ПАО Банк ВТБ","ВТБ ао",VTBR,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VLHZ [TQBR]","Владимирский химич.з-д(ПАО) ао",ВХЗ-ао,VLHZ,"МБ ФР: Т+ Акции и ДР",TQBR,20
"VDSB [TQBR]",""Владимирэнергосбыт" ПАО","ВЭК 01 ао",VDSB,"МБ ФР: Т+ Акции и ДР",TQBR,3
"VJGZ [TQBR]","Варьеганнефтегаз ПАО ао",Варьеган,VJGZ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VJGZP [TQBR]","Варьеганнефтегаз ПАО ап",Варьеган-п,VJGZP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VZRZ [TQBR]","Банк "Возрождение"-ао",Возрожд-ао,VZRZ,"МБ ФР: Т+ Акции и ДР",TQBR,10
"VZRZP [TQBR]","Банк "Возрождение" - ап",Возрожд-п,VZRZP,"МБ ФР: Т+ Акции и ДР",TQBR,10
"VGSB [TQBR]",""Волгоград.энергосбыткомп" ПАО",ВолгЭнСб,VGSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VGSBP [TQBR]",""Волгоград.энергосбыткомп" ПАО",ВолгЭнСб-п,VGSBP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"VSYD [TQBR]","Выборгский Суд.Завод ПАО ао","ВыбСудЗ ао",VSYD,"МБ ФР: Т+ Акции и ДР",TQBR,1
"VSYDP [TQBR]","Выборгский Суд.Завод ПАО ап","ВыбСудЗ ап",VSYDP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GAZA [TQBR]","ГАЗ ПАО ао","ГАЗ ао",GAZA,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GAZAP [TQBR]","ГАЗ ПАО ап","ГАЗ ап",GAZAP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GAZT [TQBR]","ГАЗ-Тек ПАО ао","ГАЗ-Тек ао",GAZT,"МБ ФР: Т+ Акции и ДР",TQBR,100
"GAZS [TQBR]","ГАЗ-сервис (ПАО) ао",ГАЗ-сервис,GAZS,"МБ ФР: Т+ Акции и ДР",TQBR,10
"GAZC [TQBR]","ГАЗКОН (ПАО) ао",ГАЗКОН-ао,GAZC,"МБ ФР: Т+ Акции и ДР",TQBR,10
"GAZP [TQBR]",""Газпром" (ПАО) ао","ГАЗПРОМ ао",GAZP,"МБ ФР: Т+ Акции и ДР",TQBR,5
"GTSS [TQBR]","ГЕОТЕК Сейсморазведка ПАО ао","ГЕОТЕК ао",GTSS,"МБ ФР: Т+ Акции и ДР",TQBR,0
"GRNT [TQBR]","ГородскиеИнновацТехнологии ао","ГИТ ао",GRNT,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GMKN [TQBR]","ГМК "Нор.Никель" ПАО ао",ГМКНорНик,GMKN,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GTRK [TQBR]","ПАО "ГТМ" ао","ГТМ ао",GTRK,"МБ ФР: Т+ Акции и ДР",TQBR,100
"RTGZ [TQBR]","Газпром газорасп Р-н-Д ПАО ао","ГазпРнД ао",RTGZ,"МБ ФР: Т+ Акции и ДР",TQBR,2000
"SIBN [TQBR]","Газпром нефть ПАО ао",Газпрнефть,SIBN,"МБ ФР: Т+ Акции и ДР",TQBR,0
"HALS [TQBR]","ПАО "Галс-Девелопмент"",Галс-Девел,HALS,"МБ ФР: Т+ Акции и ДР",TQBR,50
"FESH [TQBR]","ДВ морское пароходство ПАО ао","ДВМП ао",FESH,"МБ ФР: Т+ Акции и ДР",TQBR,1
"DVEC [TQBR]",""ДЭК" ПАО ао","ДЭК ао",DVEC,"МБ ФР: Т+ Акции и ДР",TQBR,1
"DASB [TQBR]","ао Дагестанская энергосб.комп.","ДагСб ао",DASB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"DSKY [TQBR]","ПАО Детский мир",ДетскийМир,DSKY,"МБ ФР: Т+ Акции и ДР",TQBR,0
"ZVEZ [TQBR]","ЗВЕЗДА ПАО ао","ЗВЕЗДА ао",ZVEZ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"ZILL [TQBR]","Завод им. И.А.Лихачева ПАО ао","ЗИЛ ао",ZILL,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"DIOD [TQBR]","Завод ДИОД ПАО ао",ЗаводДИОД,DIOD,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RUSI [TQBR]","РУСС-ИНВЕСТ ИК ПАО ао",ИКРУСС-ИНВ,RUSI,"МБ ФР: Т+ Акции и ДР",TQBR,1
"OPIN [TQBR]","ИНГРАД ПАО ао","ИНГРАД ао",OPIN,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"IRKT [TQBR]","Корпорация"ИРКУТ" ПАО ак.об.-3",ИРКУТ-3,IRKT,"МБ ФР: Т+ Акции и ДР",TQBR,3
"IGSTP [TQBR]","Ижсталь ПАО ап","Ижсталь ап",IGSTP,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"IGST [TQBR]","Ижсталь ПАО ао 2в.",Ижсталь2ао,IGST,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"IDVP [TQBR]","ПАО "ИНВЕСТ-ДЕВЕЛОПМЕНТ" - ао",Инв-Девел,IDVP,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"IRAO [TQBR]",""Интер РАО" ПАО ао",ИнтерРАОао,IRAO,"МБ ФР: Т+ Акции и ДР",TQBR,3
"IRGZ [TQBR]",Иркутскэнерго(ПАО)-ао,ИркЭнерго,IRGZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KMAZ [TQBR]","КАМАЗ ПАО",КАМАЗ,KMAZ,"МБ ФР: Т+ Акции и ДР",TQBR,50
"KZMS [TQBR]",""КЗМС" ПАО","КЗМС ао",KZMS,"МБ ФР: Т+ Акции и ДР",TQBR,10
"KMEZ [TQBR]","Ковровский механический завод",КМЗ,KMEZ,"МБ ФР: Т+ Акции и ДР",TQBR,250
"KTSB [TQBR]",""Костромск.сбыт.комп" ПАО","КСБ ао",KTSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KTSBP [TQBR]",""Костромск.сбыт.комп" ПАО","КСБ ап",KTSBP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KUNF [TQBR]","Каменск-Уральский завод ОАО ао","КУЗОЦМ ао",KUNF,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KLSB [TQBR]","ао"Калужская сбыт.комп."ПАО",КалужскСК,KLSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KCHE [TQBR]","Камчатскэнерго ПАО ао","КамчатЭ ао",KCHE,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KCHEP [TQBR]","Камчатскэнерго ПАО ап","КамчатЭ ап",KCHEP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TGKD [TQBR]","Квадра ПАО ао",Квадра,TGKD,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TGKDP [TQBR]","Квадра ПАО ап",Квадра-п,TGKDP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KSGR [TQBR]","Кокс ПАО ао","Кокс ао",KSGR,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KOGK [TQBR]","Коршуновский ГОК ПАО ао","КоршГОК ао",KOGK,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KMTZ [TQBR]","Косогорский метал. завод ПАО","КосогМЗ ао",KMTZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KROTP [TQBR]",КрасныйОктябрь-1п,КрасОкт-1п,KROTP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KROT [TQBR]",""КрасныйОктябрь" ПАО - ао",КрасОкт-ао,KROT,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KRSB [TQBR]","Красноярскэнергосбыт ао","Красэсб ао",KRSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KRSBP [TQBR]","Красноярскэнергосбыт ап","Красэсб ап",KRSBP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KUBE [TQBR]",""Кубаньэнерго" ПАО",Кубанэнр,KUBE,"МБ ФР: Т+ Акции и ДР",TQBR,100
"KBTK [TQBR]","Кузбас.Топл.Комп. ПАО ао","КузбТК ао",KBTK,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KUZB [TQBR]","Банк "Кузнецкий" ПАО ао",КузнецкийБ,KUZB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"KAZT [TQBR]","Куйбышевазот ПАО ао",Куйбазот,KAZT,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KAZTP [TQBR]","Куйбышевазот ПАО ап",Куйбазот-п,KAZTP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KGKC [TQBR]","Курганская генер.комп.ПАО ао",КурганГКао,KGKC,"МБ ФР: Т+ Акции и ДР",TQBR,7
"KGKCP [TQBR]","Курганская генер. комп. ПАО ап",КурганГКап,KGKCP,"МБ ФР: Т+ Акции и ДР",TQBR,7
