security_name,security_name_full,security_name_tiny,security_code
"SBERP [TQBR]","Сбербанк России ПАО ап",Сбербанк-п,SBERP
"CHMF [TQBR]","Северсталь (ПАО)ао",СевСт-ао,CHMF
"SELG [TQBR]","ПАО "Селигдар"  ао",Селигдар,SELG
"SELGP [TQBR]","ПАО "Селигдар" ап",Селигдар-п,SELGP
"AFKS [TQBR]","АФК "Система" ПАО ао","Система ао",AFKS
"JNOSP [TQBR]","Славнефть-ЯНОС (ПАО) ап",Слав-ЯНОСп,JNOSP
"JNOS [TQBR]","Славнефть-ЯНОС (ПАО) ао",Славн-ЯНОС,JNOS
"STSB [TQBR]","Ставрополэнергосбыт ПАО ао",СтаврЭнСб,STSB
"STSBP [TQBR]","Ставрополэнергосбыт ПАО ап",СтаврЭнСбп,STSBP
"SNGS [TQBR]","Сургутнефтегаз ПАО акции об.",Сургнфгз,SNGS
"SNGSP [TQBR]","Сургутнефтегаз ПАО ап",Сургнфгз-п,SNGSP
"TANL [TQBR]","ТАНТАЛ ПАО ао","ТАНТАЛ ао",TANL
"TANLP [TQBR]","ТАНТАЛ ПАО ап","ТАНТАЛ ап",TANLP
"TGKA [TQBR]","ао ПАО "ТГК-1"",ТГК-1,TGKA
"TGKN [TQBR]","ао ПАО "ТГК-14"",ТГК-14,TGKN
"TGKB [TQBR]","ао ПАО "ТГК-2"",ТГК-2,TGKB
"TGKBP [TQBR]","ап ПАО "ТГК-2"","ТГК-2 ап",TGKBP
"TUZA [TQBR]","Туймаз. завод автобетоновозов","ТЗА ао",TUZA
"KRKO [TQBR]","ТКЗ Красный котельщик ОАО ао","ТКЗКК ао",KRKO
"KRKOP [TQBR]","ТКЗ Красный котельщик ОАО ап","ТКЗКК ап",KRKOP
"TRMK [TQBR]","ПАО ТМК","ТМК ао",TRMK
"KBSB [TQBR]","ТНС энерго Кубань ПАО ао",ТНСэКубань,KBSB
"MISBP [TQBR]","ТНС энерго Марий Эл ПАО ап",ТНСэМаЭл-п,MISBP
"VRSBP [TQBR]","ТНС энерго Воронеж ПАО ап",ТНСэнВор-п,VRSBP
"VRSB [TQBR]","ТНС энерго Воронеж ПАО ао",ТНСэнВорон,VRSB
"MISB [TQBR]","ТНС энерго Марий Эл ПАО ао",ТНСэнМарЭл,MISB
"NNSB [TQBR]","ТНС энерго Нижний Новг.ПАО ао","ТНСэнНН ао",NNSB
"NNSBP [TQBR]","ТНС энерго Нижний Новг.ПАО ап","ТНСэнНН ап",NNSBP
"RTSB [TQBR]","ТНС энерго Ростов. ПАО ао",ТНСэнРст,RTSB
"RTSBP [TQBR]","ТНС энерго Ростов. ПАО ап",ТНСэнРст-п,RTSBP
"YRSB [TQBR]","ТНС энерго Ярославль ПАО ао",ТНСэнЯр,YRSB
"YRSBP [TQBR]","ТНС энерго Ярославль ПАО ап",ТНСэнЯр-п,YRSBP
"TNSE [TQBR]","ПАО ГК "ТНС энерго" ао","ТНСэнрг ао",TNSE
"TORS [TQBR]","ао "Томская распределит.комп."","ТРК ао",TORS
